Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
MLN	6p21.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MDK	11p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
AP4B1-AS1	1p13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
IGKJ5	2p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MRPS28	8q21.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMEM190	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FLYWCH2	16p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TPRG1L	1p36.32	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ALG1L	3q21.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
KLHL42	12p11.22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
AAMDC	11q14.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C19ORF53	19p13.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FAM213B	1p36.32	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TAGLN2	1q23.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
UXT	Xp11.23	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
STK32C	10q26.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ZNF784	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
COMMD5	8q24.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
BLOC1S2	10q24.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MMP12	11q22.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SPIN4	Xq11.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
S1PR5	19p13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CDKL1	14q21.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SLC25A29	14q32.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DPM2	9q34.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
AKR7L	1p36.13|1p35-p36.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PM20D2	6q15	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ROPN1B	3q21.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
BABAM1	19p13.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ADM	11p15.4	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TSGA10IP	11q13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MRPL22	5q33.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
METTL1	12q14.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMEM181	6q25.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RANGRF	17p13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
GNPAT	1q42.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DNAJC15	13q14.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DUSP11	2p13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MPI	15q24.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ADRB3	8p11.23	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SAP30BP	17q25.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C10ORF55	10q22.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
LGALS16	19q13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR369	14q32.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TTC9B	19q13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CDC123	10p14-p13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CD274	9p24.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MPV17	2p23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
LIPM	10q23.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C3ORF79	3q25.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
AGRP	16q22.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CLLU1	12q22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FXYD4	10q11.21	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RAB42	1p35.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
EIF2B4	2p23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
EIF2B2	14q24.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C9ORF153	9q21.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
HIRIP3	16p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
BUD31	7q22.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMEM41A	3q27.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
LCORL	4p15.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
LRRC26	9q34.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
AP1S2	Xp22.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
IFT20	17q11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
GSTO2	10q25.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TTC9C	11q12.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ALDOA	16p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ARL8A	1q32.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
IDNK	9q21.32	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
GAGE12J	Xp11.23	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ALOX5AP	13q12.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MBD2	18q21.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RDH14	2p24.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RTL8C	Xq26.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C15ORF40	15q25.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PAQR7	1p36.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
IFITM1	11p15.5	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RAB4B	19q13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PELO	5q11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NANOS1	10q26.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
UPRT	Xq13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
HIST1H3F	6p22.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RGPD2	2p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
H1FX	3q21.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ANAPC16	10q22.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RASSF3	12q14.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CTAGE4	7q35	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PIR	Xp22.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ATP6V0E1	5q35.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
UHRF2	9p24.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ANXA5	4q27	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMOD4	1q21.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MAPKAPK5	12q24.12-q24.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
KRTAP27-1	21q22.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PGA3	11q12.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
UBL4B	1p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
HMX3	10q26.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CCDC122	13q14.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
UQCR10	22q12.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SOCS3	17q25.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CLIC3	9q34.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
YPEL1	22q11.21-q11.22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PDXK	21q22.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ANKRA2	5q13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CT45A1	Xq26.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
APEX1	14q11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
LINC01465	12q14.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
HES4	1p36.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
APOA1	11q23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
APOA2	1q23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMEFF1	9q31.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RPL14	3p22.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MSX2	5q35.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
APOC2	19q13.32	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MT1F	16q13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMIE	3p21.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MT1JP	16q13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
APOE	19q13.32	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NUP43	6q25.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MT3	16q13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RUVBL1	3q21.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CLDN12	7q21.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CHRAC1	8q24.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
COX19	7p22.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TRA2A	7p15.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FAM216A	12q24.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C8ORF58	8p21.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
EIF1AY	Yq11.223	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CXORF40B	Xq28	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
UNC119	17q11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PSMG1	21q22.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PAXIP1-AS2	7q36.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RHOC	1p13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RND3	2q23.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
LINC00696	3p21.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RHOG	11p15.4	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TAS2R19	12p13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TAS2R30	12p13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MT-ND1	-	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RGN	Xp11.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NIPA1	15q11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TSACC	1q22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CYCS	7p15.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PHOX2A	11q13.4	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MT-ND6	-	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR329-1	14q32.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SLC16A6	17q24.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
EBLN1	10p12.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DPY19L2P1	7p14.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FAM50A	Xq28	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ASGR1	17p13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ASIP	20q11.22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
WFDC1	16q24.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SOCS1	16p13.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR485	14q32.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FBXO48	2p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CERS2	1q21.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR512-2	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR498	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CDIP1	16p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR519E	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
EIF3F	11p15.4	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR492	12q22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR496	14q32.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR193B	16p13.12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
EIF3J	15q21.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ZBTB10	8q21.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TBC1D26	17p12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FUNDC2	Xq28	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR518F	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FAM173A	16p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
LCE3C	1q21.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMSB10	2p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DDRGK1	20p13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR526A1	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
VAMP4	1q24.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR520C	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SLC2A8	9q33.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR520F	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MTX1	1q22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RFLNA	12q24.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ATF3	1q32.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
STX10	19p13.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
KRT16P6	17p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR523	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
AP5B1	11q13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
BUB3	10q26.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR516B1	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MRPL55	1q42.13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR520D	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR520G	19q13.42	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TRIM47	17q25.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ETFRF1	12p12.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PIRT	17p12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PIFO	1p13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ST20-AS1	15q25.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C1ORF162	1p13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MVD	16q24.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR513A2	Xq27.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR506	Xq27.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MXI1	10q25.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TIGD7	16p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
THAP5	7q31.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DPM3	1q22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SPATA12	3p14.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
CSKMT	11q12.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ATP5F1B	12q13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FAM43A	3q29	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DEPDC7	11p13	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
KIZ-AS1	20p11.23	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TAC4	17q21.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FITM2	20q13.12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
GGTLC2	22q11.22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PTTG1	5q33.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TICAM2	5q22.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RAB3C	5q11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PLEKHB1	11q13.4	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TP53INP2	20q11.22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ATP6V1G2	6p21.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMEM120B	12q24.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TRAPPC1	17p13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SIAE	11q24.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NXNL1	19p13.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
AUP1	2p13.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MIR542	Xq26.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ZNF717	3p12.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
SPATA33	16q24.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
BAG1	9p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
STK17B	2q32.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NKX3-2	4p15.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MSANTD3	9q31.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RETREG1	5p15.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NOXO1	16p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C8ORF82	8q24.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MID1IP1	Xp11.4	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TTLL3	3p25.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMEM219	16p11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RRAGD	6q15	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TSPAN19	12q21.31	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TOLLIP	11p15.5	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
HYPM	Xp11.4	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PHF19	9q33.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
HYPK	15q15.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NAT9	17q25.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NBEAP1	15q11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
GPR52	1q25.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C22ORF24	22q12.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RDM1	17q12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
ATP6V1F	7q32.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
PGP	16p13.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C11ORF71	11q23.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NDUFA8	9q33.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NDUFAB1	16p12.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NDUFB3	2q33.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
LSM4	19p13.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TMEM170A	16q23.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
BLMH	17q11.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
BLVRB	19q13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NDUFV1	11q13.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
IDI2	10p15.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TNFAIP8	5q23.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NDUFV2	18p11.22	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MFSD4B	6q21	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MRPL50	9q31.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
TXN2	22q12.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
POLR3D	8p21.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
BNIP2	15q22.2	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
DDIT4	10q22.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
NEUROG1	5q31.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
UAP1L1	9q34.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
FOXL2	3q22.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
OTUB2	14q32.12	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
MOB4	2q33.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
IQCK	16p12.3	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
RAB28	4p15.33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
LRRC29	16q22.1	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
BST2	19p13.11	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
C7ORF49	7q33	1 (0.46%)	0 (0.00%)	>10	0.589	0.659	Co-occurrence	
