Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
SHMT1	17p11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SIL1	5q31.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SIRT6	19p13.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SIVA1	14q32.33	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC13A2	17q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC15A3	11q12.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC19A3	2q36.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC1A6	19p13.12	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC24A3	20p11.23	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC26A1	4p16.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC27A4	9q34.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC35E4	22q12.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC35G5	8p23.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC39A2	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC39A6	18q12.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC43A1	11q12.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC43A3	11q12.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC46A1	17q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC5A7	2q12.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC7A3	Xq13.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLC9A6	Xq26.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLFNL1	1p34.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLIT3	5q34-q35.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLITRK6	13q31.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SLTM	15q22.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SMAP2	1p34.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SMARCA2	9p24.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SMCR8	17p11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SMIM10L2A	Xq26.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SMIM10L2B	Xq26.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SMIM12	1p34.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SMIM24	19p13.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SMIM4	3p21.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SMTNL1	11q12.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SMU1	9p21.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNAPC2	19p13.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNIP1	1p34.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORA30	16p11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORA55	1p34.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORA62	3p22.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORA63	3q27.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORA74A	5q31.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORA74B	5q35.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORA79	14q31.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORD103A	1p35.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORD103B	1p35.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORD103C	1p35.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORD112	14q32.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORD121A	9p13.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORD121B	9p13.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORD126	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORD42A	17q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORD42B	17q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORD4A	17q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORD4B	17q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORD67	11p11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORD8	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNORD9	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNRPB2	20p12.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNRPD3	22q11.23	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SNX12	Xq13.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SPACA1	6q15	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SPAG5	17q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SPATA31A1	9p12	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SPATA31A3	9q21.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SPATA31A5	9q12	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SPATA31A6	9p11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SPATA31A7	9q12	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SPATC1L	21q22.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SPECC1L	22q11.23	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SPIN4	Xq11.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SPINK4	9p13.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SPON2	4p16.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SPTAN1	9q34.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SRSF12	6q15	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SSRP1	11q12.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
ST6GAL2	2q12.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
STAB1	3p21.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
STAP2	19p13.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
STC2	5q35.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
STK40	1p34.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
STMN1	1p36.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SULT1C2	2q12.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SULT1C2P1	2q12.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SULT1C3	2q12.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SULT1C4	2q12.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SULT2B1	19q13.33	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SUPT16H	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SUPT6H	17q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SUSD2	22q11.23	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SWI5	9q34.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
SYDE1	19p13.12	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TACC1	8p11.22	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TAF1	Xq13.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TAOK1	17q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TBC1D13	9q34.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TCEANC2	1p32.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TCN2	22q12.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TCP11L1	11p13	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TDGF1P3	Xq23	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TDH	8p23.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TDRD3	13q21.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TEP1	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TEX11	Xq13.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TEX22	14q32.33	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TFAP2E	1p34.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TGFBR3L	19p13.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TGIF2LX	Xq21.31	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TIAF1	17q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TICAM1	19p13.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TIMM10	11q12.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TIMM44	19p13.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TJP1	15q13.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TLCD1	17q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TM2D2	8p11.22	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TM4SF20	2q36.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMCO2	1p34.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMCO4	1p36.13	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMEM109	11q12.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMEM121	14q32.33	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMEM132A	11q12.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMEM132C	12q24.32-q24.33	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMEM170A	16q23.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMEM175	4p16.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMEM179	14q32.33	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMEM199	17q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMEM231	16q23.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMEM253	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMEM255B	13q34	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMEM258	11q12.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
DMAC1	9p24.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RXYLT1	12q14.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
PIP4P1	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMEM59	1p32.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMEM59L	19p13.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMEM97	17q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
TMIGD2	19p13.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
PLPBP	8p11.23	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
PRPF19	11q12.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
PRR5L	11p13-p12	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
PSMB2	1p34.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
PTENP1	9p13.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
PTGDR2	11q12.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
PTPRD	9p24.1-p23	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
PUM1	1p35.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
PUM3	9p24.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
PVR	19q13.31	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
PYY2	17q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
QSER1	11p13	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RAB2B	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RAB34	17q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RAB3A	19p13.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RAB3IL1	11q12.2-q12.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RAB41	Xq13.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RAG1	11p12	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RAI2	Xp22.13	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RANBP2	2q13	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RANBP3	19p13.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RANBP6	9p24.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RARS	5q34	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RASA3	13q34	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RASD1	17p11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RCN1	11p13	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RFX2	19p13.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RFX3	9p24.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RTL5	Xq13.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RGPD4	2q12.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RHBDL2	1p34.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RHOXF2B	Xq24	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RIMS3	1p34.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RLF	1p34.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RMRPP5	9p21.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SKP16	1p35.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SKP24	9p13.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SKP259	11q12.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SKP31	Xq26.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SKP64	5q31.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SKP76	16q21	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SKP91	1p35.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL121P	19p13.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL123P	9p24.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL155P	19p13.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL165P	1p36.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL189P	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL196P	15q13.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL238P	15q13.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL25P	9p24.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL293P	8p23.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL304P	1p36.13	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL313P	2q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL325P	Xq26.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL326P	1p34.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL336P	6q15	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL338P	9p13.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL343P	9p11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL398P	10p11.22	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL422P	9q21.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL462P	9q12	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL469P	15q13.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL503P	1p34.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL513P	19p13.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL544P	9q13	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL560P	9q34.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL565P	9p11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL581P	Xq13.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL592P	9p24.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL628P	15q13.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL634P	14q32.33	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL640P	9p12	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL650P	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL673P	15q13.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL679P	1p36.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL719P	15q13.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL722P	9q13	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL757P	22q12.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL763P	9p12	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL787P	9q21.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL799P	Xq11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL807P	2q36.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RN7SL82P	15q13.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP121	2q36.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP152	4p16.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP182	5q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP195	5q31.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP200	5q35.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP24	13q12.11	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP253	8p23.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP254	8p23.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP282	9p13.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP283	9q13	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP284	9q13	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP33	13q31.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP341	11q12.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP355	12p11.22	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP380	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP382	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP389	14q32.33	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP42	1p35.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP43	1p34.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP44	1p34.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP463	19p13.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP475	20p12.1	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNA5SP515	Xq26.3	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNASE1	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNASE10	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNASE11	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNASE12	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNASE13	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNASE2	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNASE3	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNASE4	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNASE6	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNASE7	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
RNASE8	14q11.2	1 (0.47%)	1 (0.66%)	-0.50	0.657	0.659	Mutual exclusivity	
